Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,,,,,,,,,,,,,,Advanced Tactical Solutions of Louisiana,atsofla@charter.net,,74458 Delta Ave,,United States,USA,,,Louisiana,LA,Covington,,,,70435,(985) 773-8008,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Louisiana,,,,,
,,,,,,,,,,,,,,,,,Johnson Gunsmithing LLC,johnsongunsmithing@yahoo.com,,252 Bluebonnet Dr. East,,United States,USA,,,Texas,TX,Cresson,,,,76035,(817) 396-4325,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,PK Gunsmithing,PKGunsmithing@yahoo.com,,5851 Saratoga Dr,,United States,USA,,,Florida,FL,Crestview,,,,32536,(850) 758-5880,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,The Handgun Works,chuck@handgunworks.com,handgunworks.com,PO Box 546,,United States,USA,,,Florida,FL,Crystal Beach,,,,34681,(727) 483-0331,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Bullseye Firearms and Gunsmithing,mario@bullseyefirearms-IL.com,,4207 Jacqueline Ln,,United States,USA,,,Illinois,IL,Crystal Lake,,,,60014,(847) 276-7074,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,Custom Gun Finishes LLC,sales@customgunfinishes.com,,280 Wood Street,,United States,USA,,,Pennsylvania,PA,Cumbola,,,,17930,(570) 277-6420,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,"Dilliott Gunsmithing, Inc.",kared76@att.net,,657 Scarlett Road,,United States,USA,,,Tennessee,TN,Dandridge,,,,37725,(865) 397-9284,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 145,gm145gs@gandermountain.com,,3940 ELMORE AVE.,,United States,USA,,,Iowa,IA,Davenport,,,,52807,(563) 344-8880,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Iowa,,,,,
,,,,,,,,,,,,,,,,,Red River Gunsmithing,Bju72@msn.com,,19060 CRNS 217 P.O. Box 45,,United States,USA,,,Oklahoma,OK,Davidson,,,,73530,(580) 770-1911,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oklahoma,,,,,
,,,,,,,,,,,,,,,,,"Lock,Stock & Barrel Gun Repair",l.g.jones@charter.net,charter.net,2308 Hwy 31N.,,United States,USA,,,Alabama,AL,Deatsville,,,,36022,(334) 365-4719,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,M&M Gun Repair,mmgunrepair@yahoo.com,,5828 E 700 N,,United States,USA,,,Indiana,IN,Decatur,,,,46733,(260) 728-9306,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,D & D Weapon Works LLC,delmariii@danddweaponworks.com,,1221 S Halleck St,,United States,USA,,,Indiana,IN,Demotte,,,,46310,(219) 669-9044,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,D & D Weapon Works,,,1221 S Halleck St,,United States,USA,,,Indiana,IN,Demotte,,,,46310,(219) 669-9044,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,Staber Gunsmithing,timstaber@dishmail.net,,11000 Pear ree Rd,,United States,USA,,,Illinois,IL,Dewitt,,,,61735,(217) 935-0029,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,Jones Guns & Ammo,sales@jonesgunsammo.com,,831 N. Harris Dr.,,United States,USA,,,Missouri,MO,Dexter,,,,63841,(573) 624-6393,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Missouri,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 210,gm210gs@gandermountain.com,,955 Viewmont Drive,,United States,USA,,,Pennsylvania,PA,Dickson City,,,,18519,(570) 347-9077,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Larry's Gun Repair,larrysgunrepair@gmail.com,,17308 Hamilton Arms Rd,,United States,USA,,,Virginia,VA,Dinwiddie,,,,23840,(804) 469-5979,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,Current River Firearms - Missouri,dougbeevers@semo.net,,P.O. Box 481,,United States,USA,,,Missouri,MO,Doniphan,,,,63935,(573) 996-5196,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Missouri,,,,,
,,,,,,,,,,,,,,,,,Ott Gun Works,brian@ottgunworks.com,,5493 Westmoreland Plaza,,United States,USA,,,Georgia,GA,Douglasville,,,,30134,(678) 840-9484,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,W.E. SELL SPORTING GOODS - PA,TOM76251@AOL.COM,,"Master Kimber Dealer, Full Line Browning Dealer, Smith and Wesson Dealer. Winchester Dealer. Reloading Supplies. Custom Bolt Rifles and 1911 Handguns, Stock repairs and refinishing. Dura-Coat, Rust Blueing. Law Enforcement Certified Armorer.",,United States,USA,,,,OM,E: T,,,,76251,(717) 632-1293,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->,,,,,
,,,,,,,,,,,,,,,,,"Aquilla Custom Gun Works, LLC",ryan.flynn@acgwllc.com,,6104 aquilla creek road,,United States,USA,,,North Carolina,NC,East Bend,,,,27018,(336) 699-2708,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,BC Armory,bruce@bcarmory.com,bcarmory.com,6700 1 1/2 Mile Rd.,,United States,USA,,,Michigan,MI,East Leroy,,,,49051,(269) 729-5508,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Walter's Gunsmithing L.L.C.,waltersgunsmithing@gmail.com,,2444 Freemansburg Ave,,United States,USA,,,Pennsylvania,PA,Easton,,,,18042,(610) 730-6486,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 114,gm114gs@gandermountain.com,,6440 Old Town Hall Road,,United States,USA,,,Wisconsin,WI,Eau Claire,,,,54701,(555) 555-5555,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 489,gm489gs@gandermountain.com,,12160 Technology Dr.,,United States,USA,,,Minnesota,MN,Eden Prairie,,,,55344,(952) 944-5422,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Clothey and Sons Gunsmithing,clothey@gmail.com,,427 Broadway,,United States,USA,,,California,CA,El Cajon,,,,92021,(619) 749-2172,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,C.L.A.R.K. Corner,les_poe@clark-corner.com,,112 W. 4th Ave,,United States,USA,,,Kansas,KS,El Dorado,,,,67042,(316) 516-5643,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kansas,,,,,
,,,,,,,,,,,,,,,,,Artemis Arms,artemisarms@windstream.net,,20641 Shumate Rd,,United States,USA,,,Arkansas,AR,Elkins,,,,72727,(479) 643-4228,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arkansas,,,,,
,,,,,,,,,,,,,,,,,Annis Arms,,,504 Main St,,United States,USA,,,Delaware,DE,Ellendale,,,,19941,(302) 424-0897,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Delaware,,,,,
,,,,,,,,,,,,,,,,,Brother's N Arms LLC,peteross@brothersnarms.org,,3181 Clerf Rd,,United States,USA,,,Washington,WA,Ellensburg,,,,98926,(206) 497-3875,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Washington,,,,,
,,,,,,,,,,,,,,,,,X Ring Accuracy & Design,info@xringaccuracy.com,,306 Linden Dr.,,United States,USA,,,Florida,FL,Ellenton,,,,34222,(941) 807-3557,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,CB'S Gunworks,charlesdboyter@yahoo.com,,4530 N. Muletrain Dr.,,United States,USA,,,Utah,UT,Enoch,,,,84721,(435) 592-1012,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Utah,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 200,gm200gs@gandermountain.com,,2088 INTERCHANGE RD.,,United States,USA,,,Pennsylvania,PA,Erie,,,,16565,(814) 868-0880,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Gunsmith Dan,info@gunsmithdan.com,,P.O. Box 301722,,United States,USA,,,California,CA,Escondido,,,,92030,(760) 388-5766,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,M.O.A. Refinishing and Repair,orders@buildurownrifle.com,,Dallas dr.,,United States,USA,,,Texas,TX,Euless,,,,76039,(682) 738-5220,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Riverside Gun Shop,,,545 CR 235,,United States,USA,,,Arkansas,AR,Eureka Springs,,,,72632,(479) 957-5139,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arkansas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 272,gm272gs@gandermountain.com,,5476 Indiana Street,,United States,USA,,,Indiana,IN,Evansville,,,,47715,(812) 473-9117,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,Roger M. Green Gunmaker,rmgreen@rogermgreen.com,,11611 East Tom Sawyer Rd,,United States,USA,,,Wyoming,WY,Evansville,,,,82636,(307) 473-1112,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wyoming,,,,,
,,,,,,,,,,,,,,,,,Fair North Gunsmithing,johannes@fairngs.com,,217 Sunny Hills Drive,,United States,USA,,,Alaska,AK,Fairbanks,,,,99712,(907) 347-7981,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alaska,,,,,
,,,,,,,,,,,,,,,,,Fairfax Firearms Repair,kbillado@riflemag.com,,86 West st rd,,United States,USA,,,Vermont,VT,Fairfield,,,,05455,(802) 849-2860,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Vermont,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 380,gm380gs@gandermountain.com,,2121 43rd ST SW,,United States,USA,,,North Dakota,ND,Fargo,,,,58104,(701) 277-9979,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Dakota,,,,,
,,,,,,,,,,,,,,,,,Boehler Welding & Repair,mrrgb1@consolidated.net,consolidated.net,27299 W. Frontage Rd.,,United States,USA,,,Illinois,IL,Farmersville,,,,62533,(217) 227-3220,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,Strong Custom Guns,yzman5172@yahoo.com,,5245 Salem Fields Rd.,,United States,USA,,,Missouri,MO,Farmington,,,,63640,(573) 631-7996,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Missouri,,,,,
,,,,,,,,,,,,,,,,,Gunworks,jaaa@farmerstel.com,farmerstel.com,2317 Co. Rd. 97,,United States,USA,,,Alabama,AL,Flat Rock,,,,35966,(423) 645-0177,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 165,gm165gs@gandermountain.com,,5038-A Miller Road,,United States,USA,,,Michigan,MI,Flint,,,,48507,(810) 230-1212,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,OnSight Gunsmithing,onsightgunsmithing@live.com,,3369 Richfield Rd,,United States,USA,,,Michigan,MI,Flint,,,,48506,(810) 429-6091,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 485,gm485gs@gandermountain.com,,14640 West Freeway Drive,,United States,USA,,,Minnesota,MN,Forest Lake,,,,55025,(651) 464-0707,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 179,gm179gs@gandermountain.com,,4055 24TH AVE.,,United States,USA,,,Michigan,MI,Fort Gratiot,,,,48509,(810) 385-6700,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Eckelman Gunsmithing,mark@eckelmangunsmithing.com,,6866 10th st,,United States,USA,,,Minnesota,MN,Fort Ripley,,,,56449,(218) 829-1720,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,D&S Gunworks,dsgunworks@gmail.com,,"14625 Hwy 71 So., P.O. Box 181312",,United States,USA,,,Arkansas,AR,Fort Smith,,,,72916,(479) 252-6644,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arkansas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 187,gm187gs@gandermountain.com,,6043 LIMA ROAD,,United States,USA,,,Indiana,IN,Fort Wayne,,,,46818,(260) 416-0943,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 122,gm122gs@gandermountain.com,,6939 S. 27TH ST.,,United States,USA,,,Wisconsin,WI,Franklin,,,,53132,(414) 761-1500,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Hewitt Custom Gunsmithing,hewittgunsmith@centurylink.net,,10938 FM 19,,United States,USA,,,Texas,TX,Frankston,,,,75763,(903) 876-1050,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Forrests Guns,forrestsguns@yahoo.com,,589 Kanawha Road,,United States,USA,,,West Virginia,WV,Fraziers Bottom,,,,25082,(304) 743-6707,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->West Virginia,,,,,
,,,,,,,,,,,,,,,,,Swanny's Gun Shop,chadswanson377@gmail.com,,22369 Cty Rd M,,United States,USA,,,Wisconsin,WI,Frederic,,,,54872,(715) 689-3140,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 340,gm340gs@gandermountain.com,,3708 Plank Rd,,United States,USA,,,Virginia,VA,Fredericksburg,,,,22407,(540) 548-1330,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,"Mike Marney , Gunsmith",mikemarney@aol.com,,1931 Rt 75 East Lower Level,,United States,USA,,,Illinois,IL,Freeport,,,,61032,(815) 541-2133,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,American Firearms & Gunsmith,info@americanfirearmssales.com,,2301 E Lambert Rd,,United States,USA,,,California,CA,Fullerton,,,,90631,(714) 871-2819,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,American Firearms & Security Training Center,,,2301 E Lambert Rd,,United States,USA,,,California,CA,Fullerton,,,,90631,(714) 871-2819,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,"Pierce Gun Works, LLC",piercegunworks@windstream.net,,111 North Franklin St,,United States,USA,,,Missouri,MO,Gallatin,,,,64640,(660) 663-5253,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Missouri,,,,,
,,,,,,,,,,,,,,,,,"Brotherhood Arms, Your Gunsmithing Home!",cs@brotherhoodarms.com,brotherhoodarms.com,805 Yaupon Dr.,,United States,USA,,,Texas,TX,Garland,,,,75044,(972) 675-0938,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,"Chicoine, David R. & Son, Gunsmiths",,,P.O. Box 635,,United States,USA,,,North Carolina,NC,Gastonia,,,,28052,(704) 853-0265,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 287,gm287gs@gandermountain.com,,2100 S. Randall Road,,United States,USA,,,Illinois,IL,Geneva,,,,60134,(630) 845-0505,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,Central Texas Master Gunsmith,gunrepairs@gmail.com,,2101A Brushy Ave,,United States,USA,,,Texas,TX,Georgetown,,,,78626,(512) 868-8072,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 121,gm121gs@gandermountain.com,,W. 190 N10768 COMMERCE CIRCLE,,United States,USA,,,Wisconsin,WI,Germantown,,,,53022,(414) 761-1500,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Iroquois Arms & Antiques Co.,iroquois.arms@sbcglobal.net,,104 South Central,,United States,USA,,,Illinois,IL,Gilman,,,,60938,(815) 265-4992,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,Chicago Gun Smith: gun parts and gunsmith services,chicagoguy@chicagogunsmith.com,,2516 Waukegan Rd. #217,,United States,USA,,,Illinois,IL,Glenview,,,,60025,(773) 980-7037,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Illinois,,,,,
,,,,,,,,,,,,,,,,,Rogue Gun Repair,roguesmith@dishmail.net,,32280 Cedar Valley Rd,,United States,USA,,,Oregon,OR,Gold Beach,,,,97444,(541) 247-7722,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oregon,,,,,
,,,,,,,,,,,,,,,,,"The Mountain Gunsmith, LLC",mtngsmith@q.com,,1090 Hwy 72,,United States,USA,,,Colorado,CO,Golden,,,,80403,(303) 642-1874,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Colorado,,,,,
,,,,,,,,,,,,,,,,,Doc's Guns,docsguns@gmail.com,,8193 Bean Ranch Rd,,United States,USA,,,Colorado,CO,Grand Junction,,,,81527,(970) 314-5111,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Colorado,,,,,
,,,,,,,,,,,,,,,,,Bachelder Master Gunmakers,bachelderfirearm@aol.com,,1229 Michigan NE,,United States,USA,,,Michigan,MI,Grand Rapids,,,,49503,(616) 459-3636,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 168,gm168gs@gandermountain.com,,4655 CANAL AVE.,,United States,USA,,,Michigan,MI,Grandville,,,,49418,(616) 249-0400,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,A.K.'s Gun Shop,akhorst@bridgemail.com,bridgemail.com,171 Chandelle Lane,,United States,USA,,,Montana,MT,Great Falls,,,,59404,(406) 454-1831,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Montana,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 135,gm135gs@gandermountain.com,,2323 WOODMAN DR.,,United States,USA,,,Wisconsin,WI,Green Bay,,,,54303,(920) 491-9110,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Precision Bluing,Mark@PrecisionBluing.com,,1410 County Road 9,,United States,USA,,,New York,NY,Greene,,,,13778,(607) 656-4356,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 336,gm336gs@gandermountain.com,,2223 Vanstory ST,,United States,USA,,,North Carolina,NC,Greensboro,,,,27403,(336) 852-4224,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 202,gm202gs@gandermountain.com,,1040 Towne Square Drive,,United States,USA,,,Pennsylvania,PA,Greensburg,,,,15601,(724) 834-2400,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 280,gm280gs@gandermountain.com,,1049 Emerson Ave,,United States,USA,,,Indiana,IN,Greenwood,,,,46142,(317) 865-1734,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Indiana,,,,,
,,,,,,,,,,,,,,,,,Wright's Gunstock Blanks,blanks@wrightsguns.com,,8540 SE. 257th Ave.,,United States,USA,,,Oregon,OR,Gresham,,,,97080,(503) 666-1705,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oregon,,,,,
,,,,,,,,,,,,,,,,,Grey Eagle Arms,neilrdavis2001@yahoo.com,,119 cedar st s,,United States,USA,,,Minnesota,MN,Grey Eagle,,,,56336,(320) 285-3195,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,J. White Gunsmithing,jwhitegunsmithing@gmail.com,,306 Wharff Rd.,,United States,USA,,,Maine,ME,Guilford,,,,04443,(207) 564-7308,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Maine,,,,,
,,,,,,,,,,,,,,,,,"Silver Lake Enterprises, LLC",loujw@hughes.net,,14 Silver Lake Spur,,United States,USA,,,New York,NY,Hancock,,,,13783,(607) 467-3951,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,W.E. SELL SPORTING GOODS,TOM76251@AOL.COM,,401 YORK ST,,United States,USA,,,Pennsylvania,PA,Hanover,,,,17331,(717) 632-1293,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Gun Works,muleequestrian@yahoo.com,,1490 Main Street # 8 PO Box 181,,United States,USA,,,Maine,ME,Harrington,,,,04643,(207) 483-2103,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Maine,,,,,
