Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Event ID,Event Title,Event Email,Event URL,Event Address,Event Location Name,Event Contact Name,Event Start Date,Event End Date,Event Start Time,Start Time Mode,Event End Time,End Time Mode,Event Country,Event Country Abbreviation,Event Region,Event Region Abbreviation,Event State,Event State Abbreviation,Event City,Event City Abbreviation,Event Neighborhood,Event Neighborhood Abbreviation,Event Postal Code,Event Phone,Event Short Description,Event Long Description,Event Keywords,Updated Date,Event Renewal Date,Event Status,Event Level,Event Category 1,Event Category 2,Event Category 3,Event Category 4,Event Category 5
,,,,,,,,,,,,,,,,,Remington Distance Challenge,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Remington Distance Handicap,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sooner State Stakes,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Easy Jet Stakes,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Jack Brooks Stakes,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,350,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Retama Park Derby,,,,Retama Park,,,,,,,,United States,USA,,,,TX,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Tqha Sale Futurity,,,,Retama Park,,7/29/2012,7/29/2012,,,,,United States,USA,,,,TX,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Tqha Sires' Cup Futurity,,,,Retama Park,,6/30/2012,6/30/2012,,,,,United States,USA,,,,TX,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Tqha Sires' Cup Derby,,,,Retama Park,,6/30/2012,6/30/2012,,,,,United States,USA,,,,TX,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Alberta Bred Futurity,,http://www.aqhra.ca/documents/06StakesPaymentSlip.pdf,,Rocky Mountain Turf Club,,,,,,,,United States,USA,,,,AB,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Canada Quarter Horse Cup Futurity,,http://www.aqhra.ca/documents/06StakesPaymentSlip.pdf,,Rocky Mountain Turf Club,,,,,,,,United States,USA,,,,AB,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,All American Derby,,http://www.raceruidoso.com/uploads/13234493352013%20TRIPLE%20CROWN%20NOMINATION%20FORM.pdf,,Ruidoso Downs,,9/2/2012,9/2/2012,,,,,United States,USA,,,,NM,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,All American Futurity,,http://www.raceruidoso.com/uploads/13192178082012%20AA%20Fut%20Nom%20Form.pdf,,Ruidoso Downs,,9/3/2012,9/3/2012,,,,,United States,USA,,,,NM,,,,,,,440,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Rainbow Derby,,http://www.raceruidoso.com/uploads/13234493352013%20TRIPLE%20CROWN%20NOMINATION%20FORM.pdf,,Ruidoso Downs,,7/21/2012,7/21/2012,,,,,United States,USA,,,,NM,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Rainbow Futurity,,http://www.raceruidoso.com/uploads/13192177892012%20Rnbo%20Fut%20Nom%20Form.pdf,,Ruidoso Downs,,7/21/2012,7/21/2012,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Ruidoso Derby,,http://www.raceruidoso.com/uploads/13234493352013%20TRIPLE%20CROWN%20NOMINATION%20FORM.pdf,,Ruidoso Downs,,6/9/2012,6/9/2012,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Ruidoso Futurity ,,http://www.raceruidoso.com/uploads/13192176322012%20Rdso%20Fut%20Nom%20Form.pdf,,Ruidoso Downs,,6/9/2012,6/9/2012,,,,,United States,USA,,,,NM,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,All American Gold Cup,,,,Ruidoso Downs,,9/2/2012,9/2/2012,,,,,United States,USA,,,,NM,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Higheasterjet Handicap,,,,Ruidoso Downs,,7/6/2102,7/6/2102,,,,,United States,USA,,,,NM,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Mr Jet Moore Handicap,,,,Ruidoso Downs,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Ruidoso Juvenile Challenge,,,,Ruidoso Downs,,,,,,,,United States,USA,,,,NM,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Zia Futurity,,http://www.raceruidoso.com/uploads/13120476422012%20Zia%20Futurity%20Nomination%20Form.pdf,,Ruidoso Downs,,7/29/2012,7/29/2012,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Zia Handicap,,,,Ruidoso Downs,,7/29/2012,7/29/2012,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Zia Derby,,http://www.raceruidoso.com/uploads/13120476422012%20Zia%20Derby%20Nomination%20Form.pdf,,Ruidoso Downs,,7/29/2012,7/29/2012,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sam Houston Championship Challenge,,http://www.shrp.com/imgs/2012SHRPFUTURITYNOM.pdf,,Sam Houston Race Park,,,,,,,,United States,USA,,,,TX,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sam Houston Classic,,http://www.shrp.com/imgs/2012MaidenClassicNomForm.pdf,,Sam Houston Race Park,,,,,,,,United States,USA,,,,TX,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sam Houston Futurity,,,,Sam Houston Race Park,,,,,,,,United States,USA,,,,TX,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sam Houston Derby,,http://www.shrp.com/imgs/2012SHRPDERBYNOM.pdf,,Sam Houston Race Park,,,,,,,,United States,USA,,,,TX,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sam Houston Juvenile Challenge,,,,Sam Houston Race Park,,,,,,,,United States,USA,,,,TX,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Ancira Ford Stakes,,,,Sam Houston Race Park,,,,,,,,United States,USA,,,,TX,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,The Championship At Sunland Park,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,West Texas Futurity,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,300,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sunland Championship Challenge,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sunland Park Winter Derby,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sunland Park Winter Futurity,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,West Texas Maturity,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Kofx - Fm Handicap,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Sunland Distance Challenge,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,West Texas Derby,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Jess Burner Memorial Handicap,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Lou Wooten Handicap,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Mesilla Valley Speed Handicap,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexican Spring Futurity,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,300,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Hba Stakes,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Shue Fly Stakes,,,,Sunland Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Four Corners Futurity,,,,SunRay Park,,,,,,,,United States,USA,,,,NM,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,La Plata Handicap,,,,SunRay Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Breeders' Stakes,,,,SunRay Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,"Tommy ""Duke"" Smith Handicap",,,,SunRay Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Four Corners Senora Stakes,,,,SunRay Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Breeders' Futurity,,,,SunRay Park,,,,,,,,United States,USA,,,,NM,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Lineage Championship Stakes,,,,The Downs at Albuquerque,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Pelican Stakes,,,,The Downs at Albuquerque,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Turf Paradise Championship Challenge,,,,Turf Paradise,,10/14/2012,10/14/2012,,,,,United States,USA,,,,AZ,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Oklahoma Horsemen'S Association Futurity,,,,Will Rogers Downs,,,,,,,,United States,USA,,,,OK,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Black Gold 330 Futurity,,,,Will Rogers Downs,,11/10/2012,11/10/2012,,,,,United States,USA,,,,OK,,,,,,,330,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Black Gold Futurity Championship,,,,Will Rogers Downs,,8/8/2012,8/8/2012,,,,,United States,USA,,,,OK,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Kansas Jackpot Futurity,,,,Will Rogers Downs,,8/8/2012,8/8/2012,,,,,United States,USA,,,,OK,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Prescott Valley Laddie/Lassie Futurity,,,,Yavapai Downs,,,,,,,,United States,USA,,,,AZ,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Yavapai Downs Futurity,,,,Yavapai Downs,,,,,,,,United States,USA,,,,AZ,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Southwest Juvenile Championship,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,440,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Zia Park Championship,,,,Zia Park,,7/29/2012,7/29/2012,,,,,United States,USA,,,,NM,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Hobbs America Futurity,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,James Isaac Hobbs Stakes,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Lovington Handicap,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Herman Jefferson Stakes,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Hobbs America Derby,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Lubbock Stakes,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Namehimastreaker New Mexico Classic Cup Championship,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Fillies And Mares Championship ,,,,Zia Park,,,,,,,,United States,USA,,,,NM,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Classic Derby,,,,Zia Park,,10/28/2012,10/28/2012,,,,,United States,USA,,,,NM,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Classic Futurity,,,,Zia Park,,10/28/2012,10/28/2012,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
